model,accuracy,precision,recall,f1
Random Forest,0.8015436479772888,0.9693430656934306,0.672640847814229,0.7941852976354771
Isolation Forest,0.5077182398864443,0.9931779420125072,0.1361334060624951,0.2394462719298245
Final Hybrid IDS,0.8019428672817601,0.9681136719624076,0.6742772539546482,0.7949106609710165
