group,samples,rf_recall,rf_f1,if_recall,if_f1
shared_attacks,9083,0.7835516899702741,0.878641975308642,0.1586480237806892,0.27385024705435196
test_only_attacks,3750,0.404,0.5754985754985755,0.0816,0.15088757396449703
