group,samples,rf_recall,if_recall,hybrid_recall,rf_f1,if_f1,hybrid_f1
SHARED,9083,0.7800286249036662,0.1586480237806892,0.7801387206869976,0.8764225630875804,0.27385024705435196,0.8764920526934257
TEST_ONLY,3750,0.42106666666666664,0.0816,0.42213333333333336,0.59260649277538,0.15088757396449703,0.5936621038814925
