if_threshold,accuracy,precision,recall,f1,shared_recall,test_only_recall,suspicious_total,suspicious_attacks,suspicious_normals
-0.15,0.8406671398154719,0.7868272394313738,0.9876879918958934,0.8758897104553935,0.9828250578002863,0.9994666666666666,7204,4043,3161
-0.1,0.8668381831085876,0.8764070755800597,0.8918413465284812,0.8840568515371543,0.8750412859187493,0.9325333333333333,4154,2813,1341
-0.05,0.8445262597586941,0.9240771049281687,0.7919426478609835,0.852922663757291,0.8040295056699328,0.7626666666666667,2093,1531,562
0.0,0.8417760823278921,0.9681689571544059,0.7465908205407933,0.8430639271415372,0.7896069580535066,0.6424,991,949,42
0.05,0.8210166784953868,0.9693768672641913,0.7079404659861295,0.8182841702319298,0.7847627435869207,0.5218666666666667,467,453,14
0.1,0.8018541518807665,0.969367145421903,0.673186316527702,0.7945734651644056,0.7836617857536057,0.4056,7,7,0
