model,accuracy,precision,recall,f1
Random Forest,0.8024751596877218,0.9682610639248994,0.6751344190758202,0.7955557596069969
Isolation Forest,0.5077182398864443,0.9931779420125071,0.13613340606249513,0.23944627192982457
Hybrid IDS,0.8026969481902059,0.9682787892326594,0.6755240395854438,0.7958321858073992
