group,samples,rf_recall,if_recall,hybrid_recall,rf_f1,if_f1,hybrid_f1
SHARED,9083,0.7835516899702741,0.1586480237806892,0.7836617857536057,0.878641975308642,0.27385024705435196,0.8787111906672428
TEST_ONLY,3750,0.404,0.0816,0.4056,0.5754985754985755,0.15088757396449703,0.5771200910643142
