model,threshold,accuracy,precision,recall,f1
Random Forest,0.4,0.8015436479772888,0.9693430656934306,0.672640847814229,0.7941852976354771
Isolation Forest,-0.1,0.5077182398864443,0.9931779420125071,0.13613340606249513,0.23944627192982457
